Paragraph_ID,Paragraph,Gold Annotation
P196P3,"By NCCN subclassification, 33 (27.3%) and 87 (71.9%) of men were classified as having favorable and unfavorable IR-PCa, respectively (1 case unclassifiable). GC scores were high in 3 favorable IR-PCa and low in 60 unfavorable IR-PCa. Higher GC scores, but not NCCN risk subgroups, were associated with biochemical relapse (hazard ratio, 1.36; 95% confidence interval, 1.09-1.71 per 10% increase; P = .007) and metastasis (hazard ratio, 2.05; 95% confidence interval, 1.24-4.24; P = .004). GC predicted biochemical failure at 5 years (area under the curve, 0.78; 95% confidence interval, 0.59-0.91), and the combinatorial NCCN + GC model significantly outperformed the NCCN alone model for predicting early-onset metastasis (area under the curve for 5-year metastasis of 0.89 vs 0.86 [GC alone] vs 0.54 [NCCN alone]).","[{'e1': ' GC ', 'e2': ' biochemical failure ', 'relation': 'predicted', 'condition': 'at 5 years'}]"
P163P9,"Second generation androgen receptor pathway inhibitors can induce resistance through different mechanisms. One of these mechanisms is the expression of androgen receptor splice variants. More specifically, the ARV7 variant was found to be a marker for second-generation antiandrogen resistance in mCRPC. There is a lack of data about ARV7 expression in primary PCa. Recently it was demonstrated that ARV7 can be expressed in patients treated with degarelix + bicalutamide + abiraterone + prednisolone before prostatectomy but this was not related to the therapy response.","[{'e1': 'Second generation androgen receptor pathway inhibitors ', 'e2': 'resistance ', 'relation': 'can induce ', 'condition': 'through different mechanisms'}, {'e1': 'the ARV7 variant ', 'e2': 'second-generation antiandrogen resistance ', 'relation': 'was found to be a marker for ', 'condition': 'in mCRPC'}]"
P12PR6,"As the proteomic footprint of microRNAs in PC had not previously been defined comprehensively, we performed RPPA analysis in LNCaP cells transfected with SiM-miRNA mimetics. Importantly, only 12%, at most, of the SiM-miRNA effects measured via RPPA could be explained by direct miRNA binding onto the corresponding mRNAs. This suggests that most of the effects of these SiM-mRNAs in cells are indirect. We focused our analysis on common pathways concordantly regulated by the SiM miRNAs in metPC, including cell cycle, apoptosis, Akt/mTOR signaling, migration and the AR axis. In agreement with the antiproliferative effect of the SiM-miRNAs seen in our MTT experiments, positive regulators of cell cycle, including phospho Rb(pSer807/811), cyclin B1, PCNA, CDK1 and c-Myc, were suppressed, whereas the negative regulators Cyclin E1 and p27 were increased. The increase in p27 was consistent with the significant decrease in Skp2. Receptor tyrosine kinase cell cycle activators, such as HER3, pEGFR(pTyr1068), IGF1R and VEGFR2, as well as the AKT/mTOR pathway were frequently affected. Positive regulators of apoptosis, such as BIM and SMAC, were increased, in agreement with our finding of increased cleaved PARP levels. Moreover, cell junction and cell adhesion proteins that generally suppress cell migration and metastasis, such as claudin7 and E-cadherin, were concordantly upregulated upon re-expression of the SiM-miRNAs mimetics. MicroRNA-205 has been previously reported to upregulate E-cadherin and induce a mesenchymal-to-epithelial transition. Collectively, our findings indicate that the SiM-miRNAs induce a combinatorial proteomic profile of suppressed cell cycle, AKT/mTOR signaling and metastatic potential, with increased apoptosis, cell adhesion and mesenchymal-to-epithelial transition signaling. Thus the silencing of these miRNAs in metPC would have a broad impact across cellular functions, including increased mitosis, AKT/mTOR signaling and metastatic potential, while suppressing apoptosis and cell adhesion.","[{'e1': 'common pathways ', 'e2': 'the SiM miRNAs ', 'relation': 'concordantly regulated by ', 'condition': 'in metPC'}]"
P12PR8,"Next we examined the relationship between SiM-miRNAs and AR transcriptional activity in PC tissue. We determined that for 11 of the 12 SiM-miRNAs, the miRNA levels were positively correlated with the presence of a gene signature generated by silencing AR (that is, inversely correlated with AR transcriptional activity). These data further supported the role of SiM-miRNAs in the regulation of the AR axis in PC. The single outlier was miR-135a-5p, a SiM-miRNA that potently suppresses AR expression and activity, suggesting a more complex relationship to AR. Moreover, miR-135a-5p expression is generally not suppressed in primary PC (only one out of the four primary PC data sets indicated miR-135a-5p downregulation). This further suggested that silencing of miR135a-5p in metPC may be related to mechanism(s) distinct from those of the other SiM-miRNAs. Indeed, we documented that androgen potently induced the expression of miR-135a-5p, consistent with a previous report by Kroiss et al. who identified an androgen-response element in the miR-135a promoter region. Although we also found AR recruitment to the same androgen-response element under androgen stimulation of LNCaP cells with 1 nM R1881 (data not shown), we additionally identified stronger co-recruitment of AR, its pioneer factors FOXA1 and GATA2, the coactivator SRC-2, CBP, p300 and RNA Pol II to a region immediately downstream of the miR-135a-5p gene in LNCaP cells cultured without the addition of synthetic androgen. The robust presence of H3K4me1, H3K4me2 and H3K27ac, but not H3K4me3, at the latter site further suggests that it functions as an enhancer, even under normal growth conditions (medium supplemented with 10% fetal bovine serum). Combined with the inhibitory effect of miR-135a 5p on expression of AR, SRC-1, SRC-2 and SRC-3, this suggests a negative feedback loop that regulates AR axis transcriptional output and can de-repress it upon androgen deprivation. These findings also explain why miR-135a-5p was the sole outlier that lacked an inverse correlation of its levels with AR transcriptional activity in PC tissues (because the negative feedback nature of this dual interaction stabilizes this network and blunts any correlation under steady-state conditions) and why miR-135a-5p expression was not significantly downregulated in three of the four primary PC data sets that we analyzed (because they had not yet been exposed to androgen deprivation).","[{'e1': 'the miRNA levels ', 'e2': 'the presence of a gene signature generated ', 'relation': 'were positively correlated with ', 'condition': 'by silencing AR '}, {'e1': 'the role of SiM-miRNAs ', 'e2': 'the AR axis ', 'relation': 'in the regulation of ', 'condition': 'in PC'}, {'e1': 'silencing of miR135a-5p ', 'e2': 'mechanism(s) distinct from those of the other SiM-miRNAs.', 'relation': 'may be related to ', 'condition': 'in metPC'}, {'e1': 'androgen', 'e2': 'the expression of miR-135a-5p', 'relation': ' potently induced ', 'condition': ' in the miR-135a promoter region'}, {'e1': 'stronger co-recruitment of AR', 'e2': 'the miR-135a-5p gene ', 'relation': 'to a region immediately downstream of ', 'condition': 'in LNCaP cells cultured without the addition of synthetic androgen'}, {'e1': 'stronger co-recruitment of its pioneer factors FOXA1 and GATA2', 'e2': 'the miR-135a-5p gene ', 'relation': 'to a region immediately downstream of ', 'condition': 'in LNCaP cells cultured without the addition of synthetic androgen'}, {'e1': 'stronger co-recruitment of the coactivator SRC-2, CBP, p300 and RNA Pol II ', 'e2': 'the miR-135a-5p gene ', 'relation': 'to a region immediately downstream of ', 'condition': 'in LNCaP cells cultured without the addition of synthetic androgen'}, {'e1': 'a negative feedback loop ', 'e2': 'AR axis transcriptional output ', 'relation': 'that regulates ', 'condition': 'upon androgen deprivation.'}]"
P37P9,"In conclusion, we have shown that the combination of multiple miRNAs into molecular classifiers may improve the diagnostic and prognostic biomarker potential of miRNAs for PC. In order to translate our new diagnostic and prognostic miRNA classifiers into potential future clinical use, they must be further validated in multi-center studies using large, well-characterized patient cohorts and clearly defined clinical endpoints. Future studies should also assess their potential for non- or minimally invasive testing in urine and blood samples.","[{'e1': 'combination of multiple miRNAs into molecular classifiers ', 'e2': 'diagnostic and prognostic biomarker potential ', 'relation': 'may improve the ', 'condition': 'of miRNAs for PC'}]"
P113P4,We found that the identified miRNAs through meta-analysis are candidate predictive markers for recurrent PCa after radical prostatectomy.,"[{'e1': 'miRNAs through meta-analysis ', 'e2': 'recurrent PCa ', 'relation': 'are candidate predictive markers for ', 'condition': 'after radical prostatectomy.'}]"
P106P5,"While early toxicities might compromise treatment completion, they can usually be managed with adequate care. In contrast, late toxicities can significantly affect quality of life in survivors and may require extensive treatments to alleviate symptoms. However, acute radiation reactions are not necessarily an indicator of a predisposition for late toxicity. Therefore, there is a need to measure individual radiosensitivity and predict the risk of toxicity before treatment. Even though many external factors such as age, concomitant medications, or recent surgery impact on the risk of toxicity, the main determinant seems to be genetic factors, that is, intrinsic radiosensitivity. However, it is unlikely that intrinsic radiosensitivity is the product of a single genetic alteration, and as such, it should be regarded as a complex polygenic trait. If a link can be found between underlying genetic variation and normal tissue susceptibility to developing toxicity, then patients could benefit from genomically guided, therapeutic individualization of their treatment: early identification of patients predicted to be at high risk for radiation-induced toxicities may benefit from either RT dose reduction or hyperfractionation. Conversely, identification of patients who are at low risk of toxicity could allow for hypofractionation of the treatment plan, thereby shortening treatment time, or dose escalation, which could improve tumor control.","[{'e1': ' late toxicities ', 'e2': 'quality of life ', 'relation': 'can significantly affect ', 'condition': 'in survivors'}]"
P81P1,"Radioresistance remains a significant obstacle in the treatment of Prostate Cancer (PCa). To simulate the clinical scenario of irradiation resistance (IRR), we created DU145-IRR PCa cell lines by treatment with 2 Gy daily IR for 59 fractions. DU145-IRR cells acquired an aggressive phenotype as evidenced by increased clonogenic survival, tumorigenic potential and invasiveness. We performed transcriptome profiling to discover dysregulated genes in DU145-IRR cells and identified the long non-coding RNA (lncRNA), Urothelial carcinoma-associated 1 (UCA1). We first investigated the role of UCA1 in radiation response and found that UCA1 abundance was significantly higher in DU145-IRR cells compared to control cells. UCA1 siRNA-knockdown reversed the aggressive phenotype and significantly increased sensitivity to IR. UCA1 depletion inhibited growth, induced cell cycle arrest at the G2/M transition and decreased activation of the pro-survival Akt pathway. We then studied the clinical significance of UCA1 expression in two independent cohorts of PCa patients: MSKCC (130 patients) and CPC-GENE (209 patients). UCA1 over-expression was associated with decreased 5-year disease-free survival in MSKCC patients and a trend toward lower biochemical recurrence-free survival in CPC-GENE patients. We showed for the first time that UCA1 depletion induces radiosensitivity, decreases proliferative capacity and disrupts cell cycle progression, which may occur through altered Akt signaling and induced cell cycle arrest at the G2/M transition. Our results indicate that UCA1 might have prognostic value in PCa and be a potential therapeutic target.","[{'e1': 'transcriptome profiling ', 'e2': 'dysregulated genes ', 'relation': 'to discover ', 'condition': 'in DU145-IRR cells'}, {'e1': 'UCA1 abundance ', 'e2': ' in DU145-IRR cells ', 'relation': 'was significantly higher', 'condition': 'compared to control cells'}, {'e1': 'UCA1 over-expression ', 'e2': 'decreased 5-year disease-free survival ', 'relation': 'was associated with ', 'condition': 'in MSKCC patients'}, {'e1': 'UCA1 over-expression ', 'e2': 'a trend towards lower biochemical recurrence-free survival ', 'relation': 'was associated with ', 'condition': 'in CPC-GENE patients'}]"
P68P3,"CDO1 was hypermethylated in PCa compared to normal adjacent tissues and benign prostatic hyperplasia and was associated with reduced gene expression. Using two different methodologies for methylation quantification, high CDO1 methylation as continuous variable was associated with BCR in univariate analysis in both cohorts but failed to reach statistical significance in multivariate analysis.","[{'e1': 'CDO1 ', 'e2': 'with reduced gene expression', 'relation': 'was associated ', 'condition': 'in PCa'}, {'e1': 'high CDO1 methylation as continuous variable ', 'e2': ' BCR ', 'relation': 'was associated with', 'condition': 'in univariate analysis in both cohorts'}]"
P33P4,"To address the issue of being unable to accurately predict PCa prognosis, novel biomarkers have been shown to determine whether PCa is aggressive and to predict poor prognosis. In addition, new approaches that utilize new genomic technologies can assess genetic alterations and epigenetic events. Among them, RNA testing (gene expression analysis) is considered highly useful, for reflecting not only genetic variations but also epigenetic regulations. Several RNA tests have been approved for clinical use in prostate cancer and have been found to add value to clinical and pathological risks for prostate cancer progression. In this review, we focus on the value of commercially available RNA profiling tests in precision medicine practice for PCa.","[{'e1': 'Several RNA tests ', 'e2': 'clinical use ', 'relation': 'have been approved for ', 'condition': 'in prostate cancer '}, {'e1': 'Several RNA tests ', 'e2': 'clinical and pathological risks', 'relation': 'have been found to add value to ', 'condition': ' for prostate cancer progression'}]"
