Paragraph_ID,Paragraph,Gold Annotation,structure_type,entity_type,relation_type,condition_type,noise_type
P0001,"Some narratives may describe the account as being shifted across different settings. In a similar setting, there is a claim in one of the paragraphs of the article that Substance B and Compound N are followed by greater Profile Psi when group kappa. The paragraph in question is not detached from the relation of group kappa. We do not find any other claim that is being discussed beyond what was stated in the articles.
 
 Later, they are referenced again through the phrase 'the earlier configuration', but that reprise does not add a new target tuple. That extra remark functions only as noise for the extractor.","[{""e1"": ""Substance B"", ""e2"": ""Profile Psi"", ""relation"": ""are followed by greater"", ""condition"": ""group kappa""}, {""e1"": ""Compound N"", ""e2"": ""Profile Psi"", ""relation"": ""are followed by greater"", ""condition"": ""group kappa""}]",inline_condition,conjoined,increase,explicit,coreference_noise
P0006,The trend is mentioned carefully since it fails to apply in a simple way. A specific point within the section is that Agent BB and Factor GG boosts Response T during phase lambda. The write-up ends without expanding the finding outside of the given frame. The write-up ends without expanding the finding outside of the given frame. The text then utilizes a shortened mention of the previous setup. That additional comment serves only as filler for the analysis.,"[{""e1"": ""Agent BB"", ""e2"": ""Response T"", ""relation"": ""boosts"", ""condition"": ""phase lambda""}, {""e1"": ""Factor GG"", ""e2"": ""Response T"", ""relation"": ""boosts"", ""condition"": ""phase lambda""}]",inline_condition,conjoined,increase,natural,coreference_noise
P0007,"The data is shown as being limited rather than universal. Agent BB and Factor GG lead to a boost in Index Lambda mainly within state zeta. Mind you, the write-up never separates this link from state zeta. The last sentence keeps the connection clearly restricted by that requirement. Factor C is mentioned near Response I during observation window rose, but that extra comment doesn't involve Index Lambda. Essentially, the specific data point stays fixed to state zeta.","[{""e1"": ""Agent BB"", ""e2"": ""Index Lambda"", ""relation"": ""lead to a boost in"", ""condition"": ""state zeta""}, {""e1"": ""Factor GG"", ""e2"": ""Index Lambda"", ""relation"": ""lead to a boost in"", ""condition"": ""state zeta""}]",inline_condition,conjoined,increase,natural,distractor_relation
P0010,The section starts by describing the model as being dependent on the setting. Factor GG and Input K boosts Marker Delta specifically within condition gamma. This write-up strictly keeps the connection within condition gamma. The nearby phrasing prevents any universal application of the finding. One extra remark suggests a different view by noting that Input K might reduce Marker Delta in other cases. The specific data point stays fixed to condition gamma.,"[{""e1"": ""Factor GG"", ""e2"": ""Marker Delta"", ""relation"": ""boosts"", ""condition"": ""condition gamma""}, {""e1"":""Input K"",""e2"":""Marker Delta"",""relation"":""boosts"",""condition"":""condition gamma""}, {""e1"":""Input K"",""e2"":""Marker Delta"",""relation"":""might reduce"",""condition"":""other cases""}]",inline_condition,conjoined,increase,natural,conflicting_signal
P0011,"The text allows for both reinforcing and conflicting indicators. The text identifies Factor X and Agent R as elements that lead to an increase in Profile Psi within setting upsilon. This specific phrasing prevents the reader from interpreting the assertion as a universal or global rule.
 
 
 
 The closing sentence leaves the relationship explicitly restricted by the stated condition. Later, the entities are mentioned again using the phrase ""this pattern,"" but that repetition does not introduce a new target arrangement or tuple. The localized identification target remains fixed on setting upsilon.","[{""e1"": ""Factor X"", ""e2"": ""Profile Psi"", ""relation"": ""lead to an increase in"", ""condition"": ""setting upsilon""}, {""e1"": ""Agent R"", ""e2"": ""Profile Psi"", ""relation"": ""lead to an increase in"", ""condition"": ""setting upsilon""}]",inline_condition,conjoined,increase,contrastive,coreference_noise
P0015,The surrounding analysis does not address the relation as even. A local claim in the text is that Intervention FF and Drug Y drive up State U in cases where phase mu. This phrasing keeps the condition tied to the relation itself instead of just the entities. While one peripheral sentence suggests a different interpretation by noting that Drug Y may weaken State U in other settings. The surrounding phrasing resists an even reading.,"[{""e1"": ""Intervention FF"", ""e2"": ""State U"", ""relation"": ""drive up"", ""condition"": ""phase mu""}, {""e1"":""Drug Y"",""e2"":""State U"",""relation"":""drive up"",""condition"":""phase mu""}, {""e1"":""Drug Y"",""e2"":""State U"",""relation"":""may weaken"",""condition"":""other settings""}]",inline_condition,conjoined,increase,contrastive,conflicting_signal
P0016,"The pattern is analyzed with prudence, as it doesn't broaden across all cases. Results show that Element L and Module CC results in a higher State U within particular environments. The review concludes by maintaining the contextual limit of the claim. Afterward, the text briefly mentions the earlier entity configuration, though this shorthand serves only as noise for the extractor.","[{""e1"": ""Element L"", ""e2"": ""State U"", ""relation"": ""results in a higher"", ""condition"": ""particular environments""}, {""e1"": ""Module CC"", ""e2"": ""State U"", ""relation"": ""results in a higher"", ""condition"": ""particular environments""}]",inline_condition,conjoined,increase,weak_implicit,coreference_noise
P0017,"The narrative opens by highlighting how the relation shifts across settings. Based on the local description, Intervention FF and Drug Y are tied to a sharper Index Chi under narrower circumstances. This specific framing remains consistent throughout the rest of the text, as no broader claim is licensed outside the stated context. While a nearby aside mentions Compound G, which is discussed near Signal E under timing window blue, it never actually links back to Index Chi. Ultimately, that extra remark functions only as noise for the extractor.","[{""e1"": ""Intervention FF"", ""e2"": ""Index Chi"", ""relation"": ""are tied to a sharper"", ""condition"": ""narrower circumstances""}, {""e1"": ""Drug Y"", ""e2"": ""Index Chi"", ""relation"": ""are tied to a sharper"", ""condition"": ""narrower circumstances""}]",inline_condition,conjoined,increase,weak_implicit,distractor_relation
P0021,"The account starts by highlighting that the relation shifts across different settings. A particular claim in the text is that Protein Z and Signal EE boost Balance Sigma specifically during state theta. Even so, the same paragraph notes that Protein Z boost Balance Sigma in the presence of condition beta. This distinction is significant because nearby statements could easily be misread as more general. The review concludes by maintaining the contextual limit of the claim. Although they are referenced again later through the phrase ""this combination,"" that reprise does not add a new target tuple. Ultimately, the final sentence leaves the relation explicitly bounded by the condition.","[{""e1"": ""Protein Z"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""state theta""}, {""e1"": ""Signal EE"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""state theta""}, {""e1"": ""Protein Z"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""condition beta""}]",inline_condition,conjoined,increase,multi_condition,coreference_noise
P0022,"The narrative opens by highlighting how the relation shifts across different settings. A particular claim in the text is that Intervention FF and Drug Y boost Outcome P specifically under phase sigma. By contrast, the same paragraph notes that Intervention FF boosts Outcome P in cases where group rho. This specific framing remains consistent throughout the rest of the text, as nothing in the paragraph converts the condition-bound observation into a general rule. While a nearby aside mentions Signal E which is sporadically mentioned with Feature L under calendar phase green, it never actually links back to Outcome P. Ultimately, no broader claim is licensed outside the stated context.","[{""e1"": ""Intervention FF"", ""e2"": ""Outcome P"", ""relation"": ""boost"", ""condition"": ""phase sigma""}, {""e1"": ""Drug Y"", ""e2"": ""Outcome P"", ""relation"": ""boost"", ""condition"": ""phase sigma""}, {""e1"": ""Intervention FF"", ""e2"": ""Outcome P"", ""relation"": ""boosts"", ""condition"": ""group rho""}]",inline_condition,conjoined,increase,multi_condition,distractor_relation
P0023,"The narrative opens with a note of caution, as the discussed pattern does not generalize across all cases. A particular claim in the text is that Intervention FF and Drug Y boost Balance Sigma specifically when group iota, according to the local description. Even so, once the setting shifts to phase mu, Intervention FF boost Balance Sigma. This specific wording is prioritized over any broad prior assumptions, as the review concludes by maintaining the contextual limit of the claim. It is only after an intervening sentence that the paragraph specifies group iota as the relevant setting. Consequently, the local annotation target remains strictly tied to group iota.","[{""e1"": ""Intervention FF"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""group iota""}, {""e1"": ""Drug Y"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""group iota""}, {""e1"": ""Intervention FF"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""phase mu""}]",inline_condition,conjoined,increase,multi_condition,sentence_distance
P0026,"The text signals early on that context is essential for interpretation. A particular claim in the text is that Agent BB and Factor GG boost Balance Sigma specifically for state theta. The paragraph never detaches the relation from state theta, and the review concludes without extending the claim beyond that specified setting. Although they are referenced again later through the phrase ""this combination,"" that reprise does not add a new target tuple. Consequently, the annotator should disregard the nearby but non-target clue.","[{""e1"": ""Agent BB"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""state theta""}, {""e1"": ""Factor GG"", ""e2"": ""Balance Sigma"", ""relation"": ""boost"", ""condition"": ""state theta""}]",inline_condition,conjoined,decrease,explicit,coreference_noise
P0027,"The text begins by introducing the entities before narrowing down the applicable setting. A particular claim in the paragraph is that Compound N and Trigger J boost Indicator Tau specifically amid context xi. Such wording prevents the reader from regarding the claim as global, as nothing in the narrative converts the condition-bound observation into a general rule. While a nearby aside mentions Module K, which is loosely connected to Signal M under timing window blue, it never actually links back to Indicator Tau. Ultimately, that additional comment serves only as noise for the extractor.","[{""e1"": ""Compound N"", ""e2"": ""Indicator Tau"", ""relation"": ""boost"", ""condition"": ""context xi""}, {""e1"": ""Trigger J"", ""e2"": ""Indicator Tau"", ""relation"": ""boost"", ""condition"": ""context xi""}]",inline_condition,conjoined,decrease,explicit,distractor_relation
P0032,"The validation is presented as contingent rather than universal. Agent BB and Factor GG reduce Signal Kappa depending on group rho, according to the specific description. That framing keeps the claim tethered to group rho. The text closes without extending the assertion beyond the designated setting. The narrative briefly notes that Outcome H is occasionally mentioned with Compound G in the observation window rose; this remains extraneous to the target relation. That supplementary remark serves only as noise for the extractor.","[{""e1"": ""Agent BB"", ""e2"": ""Signal Kappa"", ""relation"": ""reduce"", ""condition"": ""group rho""}, {""e1"": ""Factor GG"", ""e2"": ""Signal Kappa"", ""relation"": ""reduce"", ""condition"": ""group rho""}]",inline_condition,conjoined,decrease,natural,distractor_relation
P0034,"The proof is presented as contingent rather than global. Compound N and Trigger J diminish Balance Sigma particularly when state zeta rather than broadly. This phrasing precludes the reader from treating the assertion as widespread. The report concludes by retaining the situational limit of the claim. At one point, the write-up admits that the data is not always fully elaborated, even though the central relation remains detectable. The annotator must therefore disregard the nearby but non-target clue.","[{""e1"": ""Compound N"", ""e2"": ""Balance Sigma"", ""relation"": ""diminish"", ""condition"": ""state zeta""}, {""e1"": ""Trigger J"", ""e2"": ""Balance Sigma"", ""relation"": ""diminish"", ""condition"": ""state zeta""}]",inline_condition,conjoined,decrease,natural,partial_information
P0035,The observation is discussed with prudence because it does not translate cleanly. A specific assertion in the text is that Compound Q and Exposure DD are followed by diminished Signal Kappa especially in context tau. The report never separates the relation from context tau. Nothing in the account transforms the situation-bound finding into a universal rule. One secondary sentence suggests a conflicting interpretation by mentioning that Exposure DD might bolster Signal Kappa in other settings. The narrow annotation target remains tethered to context tau.,"[{""e1"": ""Compound Q"", ""e2"": ""Signal Kappa"", ""relation"": ""are followed by diminished"", ""condition"": ""context tau""}, {""e1"":""Exposure DD"",""e2"":""Signal Kappa"",""relation"":""are followed by diminished"",""condition"":""context tau""}, {""e1"":""Exposure DD"",""e2"":""Signal Kappa"",""relation"":""might bolster"",""condition"":""other settings""}]",inline_condition,conjoined,decrease,natural,conflicting_signal
P0036,The report begins by framing the pattern as context-sensitive. Compound N and Trigger J diminish Index Lambda in cases where condition beta. This phrasing precludes the reader from treating the assertion as universal. Nothing in the text transforms the situation-bound finding into a general rule. The account then uses a shorthand mention of the earlier entity configuration. The narrative concludes without broadening the claim beyond the designated setting.,"[{""e1"": ""Compound N"", ""e2"": ""Index Lambda"", ""relation"": ""diminish"", ""condition"": ""condition beta""}, {""e1"": ""Trigger J"", ""e2"": ""Index Lambda"", ""relation"": ""diminish"", ""condition"": ""condition beta""}]",inline_condition,conjoined,decrease,contrastive,coreference_noise
P0037,"The report initially presents the entities and only then restricts the applicable setting. Substance A and Marker M diminish Index Lambda in cases where phase mu, according to the specific description. No wider assertion is permitted outside the stated context. No broader claim is authorized beyond the given environment. A nearby aside mentions Profile O which is discussed near Feature L under calendar phase green, though it never connects back to Index Lambda. That supplementary remark serves only as noise for the extractor.","[{""e1"": ""Substance A"", ""e2"": ""Index Lambda"", ""relation"": ""diminish"", ""condition"": ""phase mu""}, {""e1"": ""Marker M"", ""e2"": ""Index Lambda"", ""relation"": ""diminish"", ""condition"": ""phase mu""}]",inline_condition,conjoined,decrease,contrastive,distractor_relation
P0038,"The account clearly distinguishes one environment from another before identifying the effect. Factor GG and Input K are followed by diminished Outcome Omega under state theta, according to the specific description. The text never separates the connection from state theta. The report concludes by retaining the situational limit of the assertion. Only after an intermediate sentence does the narrative clarify that the applicable setting is state theta. No wider claim is authorized beyond the given context.","[{""e1"": ""Factor GG"", ""e2"": ""Outcome Omega"", ""relation"": ""are followed by diminished"", ""condition"": ""state theta""}, {""e1"": ""Input K"", ""e2"": ""Outcome Omega"", ""relation"": ""are followed by diminished"", ""condition"": ""state theta""}]",inline_condition,conjoined,decrease,contrastive,sentence_distance
P0039,"The account clearly distinguishes one environment from another before identifying the effect. The text declares that Input K and Signal V diminish Response T during group kappa. That specific phrasing keeps the assertion tethered to group kappa. The report concludes by retaining the situational limit of the claim. A peripheral comment notes that not every document specifies the complete environment, but the primary pair remains sufficiently clear to label. Consequently, the annotator should disregard the nearby but non-target clue.","[{""e1"": ""Input K"", ""e2"": ""Response T"", ""relation"": ""diminish"", ""condition"": ""group kappa""}, {""e1"": ""Signal V"", ""e2"": ""Response T"", ""relation"": ""diminish"", ""condition"": ""group kappa""}]",inline_condition,conjoined,decrease,contrastive,partial_information
P0042,The report initially presents the entities and only then restricts the applicable environment. The text declares that factor gg and input k lead to a diminished indicator tau for certain individuals. the narrative never separates the connection from context tau. the adjacent phrasing resists a universal interpretation. the account concisely mentions that signal e has a minor link to module k in calendar phase green; this remains extraneous to the target association. that supplementary comment serves only as noise for the extractor.,"[{""e1"": ""factor gg"", ""e2"": ""indicator tau"", ""relation"": ""lead to a diminished"", ""condition"": ""context tau""}, {""e1"": ""input k"", ""e2"": ""indicator tau"", ""relation"": ""lead to a diminished"", ""condition"": ""context tau""}]",inline_condition,conjoined,decrease,weak_implicit,distractor_relation
P0043,"The report highlights that the recorded pattern relies on regional circumstances. Drug Y and Exposure T are followed by diminished Index Lambda for specific subjects instead of universally. The adjacent phrasing opposes a global interpretation. The neighboring text denies a widespread application. An intermediate sentence defers the environmental data, so the reader must link the association back to context xi. No wider assertion is authorized beyond the given parameters.","[{""e1"": ""Drug Y"", ""e2"": ""Index Lambda"", ""relation"": ""are followed by diminished"", ""condition"": ""context xi""}, {""e1"": ""Exposure T"", ""e2"": ""Index Lambda"", ""relation"": ""are followed by diminished"", ""condition"": ""context xi""}]",inline_condition,conjoined,decrease,weak_implicit,sentence_distance
P0044,"The report allows for both corroborating and conflicting signals. The text declares that Trigger J and Agent BB reduces Marker Delta for some profiles. The account concludes by retaining the situational limit of the assertion. The narrative finishes by maintaining the localized scope of the claim. At one point, the write-up admits that certain descriptions condense the data, even though the primary connection remains identifiable. The narrow labeling target remains tethered to particular environments linked to state pi.","[{""e1"": ""Trigger J"", ""e2"": ""Marker Delta"", ""relation"": ""reduces"", ""condition"": ""state pi""}, {""e1"": ""Agent BB"", ""e2"": ""Marker Delta"", ""relation"": ""reduces"", ""condition"": ""state pi""}]",inline_condition,conjoined,decrease,weak_implicit,partial_information
P0047,"The report starts by observing that the connection fluctuates across environments. Substance A and Marker M diminish Effect R in cases where phase mu instead of universally. Nevertheless, once the situation transitions to state pi, Substance A reduces Effect R. Consequently, the association cannot be understood independent of its defined parameters. The neighboring phrasing opposes a global interpretation. The text concisely mentions that Profile O is occasionally cited with Signal M in timing window blue; this remains extraneous to the target link. That supplementary comment serves only as interference for the labeler.","[{""e1"": ""Substance A"", ""e2"": ""Effect R"", ""relation"": ""diminish"", ""condition"": ""phase mu""}, {""e1"": ""Marker M"", ""e2"": ""Effect R"", ""relation"": ""diminish"", ""condition"": ""phase mu""}, {""e1"": ""Substance A"", ""e2"": ""Effect R"", ""relation"": ""reduces"", ""condition"": ""state pi""}]",inline_condition,conjoined,decrease,multi_condition,distractor_relation
P0048,"The report presents the evidence as situational rather than universal. Factor X and Agent R diminish Marker Delta for setting upsilon instead of globally. In a distinct section of the text, Factor X reduces Marker Delta given group iota. This nuance is significant because adjacent remarks might readily be misinterpreted as more general. The neighboring phrasing opposes a widespread application. An intermediate sentence defers the environmental data, so the reader must link the association back to setting upsilon. The narrow labeling target remains tethered to setting upsilon.","[{""e1"": ""Factor X"", ""e2"": ""Marker Delta"", ""relation"": ""diminish"", ""condition"": ""setting upsilon""}, {""e1"": ""Agent R"", ""e2"": ""Marker Delta"", ""relation"": ""diminish"", ""condition"": ""setting upsilon""}, {""e1"": ""Factor X"", ""e2"": ""Marker Delta"", ""relation"": ""reduces"", ""condition"": ""group iota""}]",inline_condition,conjoined,decrease,multi_condition,sentence_distance
P0049,"The neighboring commentary does not treat the association as uniform. Factor X and Agent R diminish State Phi given phase sigma, according to the specific description. Meanwhile, once the environment transitions to setting upsilon, Factor X reduces State Phi. This nuance is significant because adjacent remarks might readily be misinterpreted as more universal. The surrounding phrasing opposes a global interpretation. The text also observes that certain accounts remain incomplete, which introduces ambiguity without altering the primary connection. The report concludes by retaining the situational limit of the assertion.","[{""e1"": ""Factor X"", ""e2"": ""State Phi"", ""relation"": ""diminish"", ""condition"": ""phase sigma""}, {""e1"": ""Agent R"", ""e2"": ""State Phi"", ""relation"": ""diminish"", ""condition"": ""phase sigma""}, {""e1"": ""Factor X"", ""e2"": ""State Phi"", ""relation"": ""reduces"", ""condition"": ""setting upsilon""}]",inline_condition,conjoined,decrease,multi_condition,partial_information
P0050,"The report presents the evidence as situational rather than universal. The text declares that Module CC and Substance A diminish Signal Kappa within group iota. Simultaneously, once the environment transitions to group kappa, Module CC reduces Signal Kappa. The specific phrasing carries more weight here than any broad prior assumption. The concluding sentence leaves the association clearly restricted by the state. A minor peripheral point suggests that Substance A contributes to an increase in Signal Kappa elsewhere, though not within the parameters utilized for labeling. The extractor must therefore disregard the adjacent but non-target hint.","[{""e1"": ""Module CC"", ""e2"": ""Signal Kappa"", ""relation"": ""diminish"", ""condition"": ""group iota""}, {""e1"": ""Substance A"", ""e2"": ""Signal Kappa"", ""relation"": ""diminish"", ""condition"": ""group iota""}, {""e1"":""Module CC"",""e2"":""Signal Kappa"",""relation"":""reduces"",""condition"":""group kappa""}, {""e1"":""Substance A"",""e2"":""Signal Kappa"",""relation"":""contributes to an increase"",""condition"":""elsewhere""}]",inline_condition,conjoined,decrease,multi_condition,conflicting_signal
P0052,"The report allows for both corroborating and conflicting signals. A specific assertion in the text is that Compound N and Trigger J are associated with State Phi given group iota. The account concludes without broadening the statement beyond the designated parameters. The narrative finishes by maintaining the localized scope of the claim. A peripheral comment mentions Module K, which has a minor link to Signal E under background state amber, though it never connects back to State Phi. The labeler must therefore disregard the adjacent but non-target hint.","[{""e1"": ""Compound N"", ""e2"": ""State Phi"", ""relation"": ""are associated with"", ""condition"": ""group iota""}, {""e1"": ""Trigger J"", ""e2"": ""State Phi"", ""relation"": ""are associated with"", ""condition"": ""group iota""}]",inline_condition,conjoined,association,explicit,distractor_relation
P0053,The report allows for both corroborating and conflicting signals. Factor GG and Input K typically manifest with State U during phase lambda. The specific phrasing maintains the assertion's connection to phase lambda. The concluding sentence leaves the association clearly restricted by the state. Only after a peripheral sentence does the text clarify that the pertinent environment is phase lambda. The labeler must therefore disregard the adjacent but non-target hint.,"[{""e1"": ""Factor GG"", ""e2"": ""State U"", ""relation"": ""typically manifest with"", ""condition"": ""phase lambda""}, {""e1"": ""Input K"", ""e2"": ""State U"", ""relation"": ""typically manifest with"", ""condition"": ""phase lambda""}]",inline_condition,conjoined,association,explicit,sentence_distance
P0055,"The report initially presents the entities and only then restricts the applicable environment. Trigger J and Agent BB are linked to Index Chi specifically within group rho instead of universally. The adjacent phrasing opposes a global interpretation. The neighboring text denies a widespread application. The account concisely mentions a conflicting possibility for Agent BB, but it does not supersede the primary, situation-bound assertion. No wider statement is authorized beyond the given parameters.","[{""e1"": ""Trigger J"", ""e2"": ""Index Chi"", ""relation"": ""are linked to"", ""condition"": ""group rho""}, {""e1"": ""Agent BB"", ""e2"": ""Index Chi"", ""relation"": ""are linked to"", ""condition"": ""group rho""}]",inline_condition,conjoined,association,explicit,conflicting_signal
